run_id,yrs_il_single,yrs_il_double,yrs_sum_al,total_living_yrs,elapsed_time_yrs,earning_potential,earning_potential_cc,added_lc_worth_norm,man_independent_yrs,woman_independent_yrs,man_assisted_yrs,woman_assisted_yrs,roi_seed,inflation_seed,apy_roi,apy_cpi,roi_one_dollar_at_end,cpi_one_dollar_at_end,norm_one_dollar_at_end,roi_mean_shift,roi_vol_multiplier,roi_mean_reversion,inflation_mean_shift,inflation_vol_multiplier,inflation_mean_reversion,man_goes_to_al_seed,woman_goes_to_al_seed,man_goes_to_al,woman_goes_to_al,man_age_to_al,woman_age_to_al,man_age_at_death,woman_age_at_death,exp_norm_al_cc,exp_norm_al_lc,exp_norm_cc,exp_norm_lc,exp_norm_non_taylor,exp_norm_total_cc,exp_norm_total_lc,entrance_fee_cc,entrance_fee_lc,earn_norm_cc,earn_norm_lc,cum_mo_earn_lc_norm,cum_mo_earn_cc_norm,cum_mo_earn_inv_lc_norm,cum_mo_earn_inv_cc_norm,cum_mo_earn_ss_man_norm,cum_mo_earn_ss_woman_norm,cum_mo_earn_ss_norm,cum_mo_earn_pen_man_norm,cum_mo_earn_pen_woman_norm,cum_mo_earn_pen_norm,cum_mo_exp_lc_norm,cum_mo_exp_cc_norm,cum_mo_exp_al_cc_norm,cum_mo_exp_al_lc_norm,cum_mo_exp_non_taylor_norm,cum_mo_exp_total_lc_norm,cum_mo_exp_total_cc_norm,start_pile,worth_norm_lc,worth_norm_cc,man_age_at_start,woman_age_at_start,ticker,current_date,history_years,al_cum_running_avg_yrs,start_clock,man_dob,woman_dob,constant_monthly_roi,constant_monthly_cpi
1,3.813092129507057,9.862200532887966,4.75963737497562,28.297130570258613,13.749768989096285,217968938.1928965,234881713.21193793,-1850467.3505954575,9.862200532887966,13.675292662395023,1.0114186313022582,3.7482187436733616,167623,589218,11.64638918409544,3.2356603903337833,4.548459959121899,1.5493835073379296,1.5493835073379296,0.004346161322293152,0.8027624455185167,0.49725162679227175,0.0016483602220793625,0.6237331652056431,0.4398736586710609,313758,157485,False,False,,,83.79364394888327,88.89984051691684,0.0,0.0,550658.0643029296,1212197.5707822298,1100401.0900484154,2132059.154351345,3212598.660830645,481000.0,900000.0,12680614.217542665,11746799.54494967,16486265.085993573,17068833.429838266,9972233.070198681,10758788.928123161,568425.0,440055.0,1008480.0,763137.1553287385,207605.4101788258,970742.5655075645,1525464.9558806857,675307.0994366171,0.0,0.0,1386848.0000000002,3809608.9827924455,2541709.97604168,6300000.0,18976656.10320113,20827123.453796588,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
2,2.9090615819962027,7.564392652434377,5.6187307107809445,23.656577597645903,10.502611278807915,107971485.16803999,116349272.62830088,-1211909.142940119,7.564392652434377,10.47345423443058,4.693438396095553,0.9252923146853911,334774,638351,10.810027383165988,4.219449353983085,2.9381918725619665,1.5433418377179915,1.5433418377179915,0.003117636774112748,0.913863735353444,0.4250022073840784,0.002815090734374138,1.377791773902283,0.4106415332128382,488872,423200,False,False,,,81.49653997001991,85.69648931874029,0.0,0.0,422350.2079854152,929533.7949156923,844034.0634242843,1747384.2714096997,2673567.8583399765,481000.0,900000.0,6943788.266749309,6389855.756332241,9934617.180116065,10082754.279697191,4620987.141238382,5021315.657601195,434070.0,336042.0,770112.0,581942.7616034206,158312.91253435737,740255.674137778,1162800.8613918517,514940.289935111,0.0,0.0,1057299.9999999998,3113466.7914921567,2049694.7481331634,6300000.0,13121150.388623908,14333059.531564027,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
3,2.384879311525988,1.3162186343730997,3.832685922634238,8.850002502906426,4.5859942367057505,44616952.53872327,48078897.559783466,19193.776835933328,1.3162186343730997,3.701097945899088,3.008873750568284,0.8238121720659539,144449,921992,15.618674959705059,1.6821842112635155,1.9448149204168823,1.0794577251158561,1.0794577251158561,0.0089974244832861,0.8202159446573852,0.2923137344867866,-0.004544878708915089,1.0951478557852385,0.1658664491636669,185053,852172,True,True,75.24863618007214,78.92564529045771,78.25759598075251,79.74975529956124,399714.04465940635,236975.7696110932,107803.17438454462,272762.6749785631,292527.3732987708,1275421.4618860378,1694325.6301967218,481000.0,900000.0,4935758.279016626,4645231.930993917,6273207.452683224,5824387.019192921,4253591.603562645,4521538.693951486,189475.0,146685.0,336160.0,302564.6091803409,82310.3020942838,384874.9112746247,291155.2482694218,111913.17212139201,410463.1927888779,242668.42285382355,303448.0,1735508.9393744525,1305882.2827200824,6300000.0,10837698.513308773,10818504.736472838,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
4,2.0952326067397413,1.0970762284144373,7.733370216221718,12.022755279790335,6.91595309965297,72837645.34458657,78489307.08521283,-157730.7522495836,1.0970762284144373,3.192308835154179,4.011614526034149,3.7217556901875684,997180,718025,10.874698715466069,0.6673935246041207,2.04216642284267,1.0470828172759516,1.0470828172759516,-0.007738078412729854,1.1684005116884286,0.08135464473362712,-0.0034722004175938743,0.7993986939339984,0.35720503999037717,671961,547306,False,True,,78.41639458715784,75.02960361951307,82.13721020965522,442622.92740026116,358524.57119421154,136915.61738668874,325490.75162038754,260661.0617249795,1306722.6099536242,1823332.7840965008,481000.0,900000.0,5627043.715994119,5244294.500673383,7288321.400162744,6910374.96356643,5003753.992586648,5373623.803068784,285935.0,221361.0,507296.0,466466.7345288524,126898.57528287097,593365.3098117235,339564.6818894527,137654.11793546594,451201.9502475261,365473.5797004963,262256.0,1868357.4976163134,1332680.3087704156,6300000.0,11719963.902546432,11877694.654796014,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
5,7.056354206632004,3.911873723540677,5.093447615612927,19.973549269326284,10.998172447072834,168284338.84483895,181341956.98854035,-1336831.298785787,10.96822793017268,3.911873723540677,2.4221913411962075,2.6712562744167196,900147,649879,11.96227633282032,1.8476150457070073,3.465683637821052,1.2230930543504197,1.2230930543504197,0.005224067601035106,1.2954973874926918,0.24667663338488965,-0.00494138239958773,0.6660887469327454,0.09461966357886324,148531,146975,False,False,,,84.89975837970663,79.13646412999583,0.0,0.0,443754.9407811546,1007960.5533092681,804123.3320904644,1728878.272871619,2712083.8853997327,481000.0,900000.0,11303812.33011761,10457835.80890723,13791594.9805571,14058437.644547878,9483552.646227343,10267872.436764147,454740.0,352044.0,806784.0,688822.9389782022,187388.81705419277,876211.7560323948,1148211.0325761149,495735.5910146561,0.0,0.0,908972.0,2953989.4142233604,1884000.7794283496,6300000.0,17137605.566333737,18474436.86511953,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
6,3.1811125695225417,1.7015333404830137,4.362932768766753,10.947112019255322,7.663401712560833,145074318.5047812,156331010.9961707,-550044.3457513973,4.8826459100055555,1.7015333404830137,2.7222187042725086,1.6407140644942446,134597,203414,19.81160707290781,1.7281766486443528,3.997834859016912,1.1403801860508196,1.1403801860508196,0.0014696715613563421,1.4568593527260436,0.010778125458074007,-0.004958790584646945,0.9069387213069262,0.21542190898219488,453960,453062,True,True,78.81339110317118,76.92423526834911,81.53487066811776,78.56424156553523,534826.4220412672,381718.49470562476,175694.33062269038,422077.6587639239,389191.44856943976,1548680.1862666532,2046984.34767255,481000.0,900000.0,15108430.23185972,14416702.31260475,17040001.173312187,17067426.391239468,13712397.474478068,14387006.137828846,316940.0,245364.0,562304.0,490886.3744821855,133541.7446444087,624428.1191265942,446706.74078393105,180384.28229393176,559137.2236815975,397144.08699877386,400936.0,2143261.3514467822,1620642.2236226639,6300000.0,21196739.821865406,21746784.167616803,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
7,3.8153413501811837,6.898813025046882,6.47994424491873,24.092911645193677,12.501283393909526,282628818.8839703,304558721.68255985,-1206361.7185031176,10.714154375228066,6.898813025046882,1.7408877442908375,4.739056500627893,838163,591326,15.098008104332727,2.64040596262225,5.798926403551083,1.385094847165186,1.385094847165186,-0.0011622425331379166,1.1657004997457376,0.06630825339316108,0.00033451332651434317,1.2673853100298635,0.23973506572694064,36323,112276,True,True,84.6451330280567,82.12352067462028,86.3864418845014,86.86283770371739,809583.9145016825,497283.5828423292,357422.2157598407,861726.986382681,893023.6372495665,2479469.311754536,3065646.4209739706,481000.0,900000.0,19893888.90791151,18977131.551841866,24696068.40651562,25209208.86301018,17406248.746467546,18299537.780887812,516750.0,400050.0,916800.0,733959.644005495,199667.8996488217,933627.5436543161,1027297.7995794613,416842.58253849804,865399.625126383,528204.0176606597,1040815.9999999997,3498383.4191255323,2805162.1571169733,6300000.0,27497684.98739009,28704046.705893207,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
8,7.033548501111156,7.2828268221983095,5.62334232858643,27.222544474094207,14.335681088591826,526656544.9882701,567521191.7197673,-2360457.190998774,14.316375323309465,7.2828268221983095,3.2716082924129344,2.351734036173496,830108,722748,15.674511332392328,1.190851542532867,8.061329138309182,1.184926080942475,1.184926080942475,0.008400909245717453,1.1757572992558747,0.38662598065866016,-0.003689869239846184,0.9269103668215117,0.260783827208872,695798,460445,False,False,,,88.24821864925357,82.50682765559867,0.0,0.0,616985.1197237709,1418695.0621971642,1206479.3743974627,2304464.4941212335,3525174.436594627,481000.0,900000.0,34602591.81025352,32948973.419353016,37278617.15382503,38339920.83945167,32056468.871138502,33678695.64683538,592540.0,458724.0,1051264.0,885753.2110883505,240962.13560194898,1126715.3466902995,1538888.86619864,657146.1882055379,0.0,0.0,1297572.0,3733047.3689220967,2433893.8635499626,6300000.0,39845569.78490293,42206026.97590171,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
9,4.3088665803976305,10.604875014849297,4.08368007586634,29.602296685962564,14.916117374073389,187501160.9215773,202049862.1116034,-1630371.8452016283,14.913741595246927,10.604875014849297,3.10028212812768,0.9833979477386596,232370,928622,8.293617786740448,2.3299040571553853,3.2821571094721063,1.409954041883311,1.409954041883311,-0.00233441034335854,1.3680926906109283,0.37145962424289564,-0.0012254440624803764,0.6474701220055745,0.28139734652832754,335564,867711,False,False,,,88.84508237677707,85.82790885507573,0.0,0.0,615919.7238637131,1386087.2963855392,1260237.6935387778,2357157.417402491,3546324.989924317,481000.0,900000.0,8973287.420239335,8266342.564494744,12815536.180221984,13091749.203364396,6814518.474762035,7400366.9004317345,616655.0,477393.0,1094048.0,856106.1231043609,232896.8804659015,1089003.0035702619,1654809.363447091,719272.0545322596,0.0,0.0,1500816.0000000002,4054812.3845209465,2700653.56246173,6300000.0,15060723.795701036,16691095.640902665,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
10,5.222425218638448,0.33810795304693264,7.876246361590411,13.774887486322726,10.168586623955317,63599149.35778407,68533972.24313806,145244.67377572274,0.33810795304693264,5.560533171685381,3.3161275228027383,4.560118838787673,929662,567638,3.7026716725123476,2.2150475254946844,1.4472085156679904,1.2494939419272426,1.2494939419272426,-0.006174523571142168,1.400854992762191,0.48321301232077374,-0.003166282584167309,0.8076350574785357,0.07540545920649372,455369,868601,True,True,74.26846547157025,80.7846841482029,77.58407085703334,85.34603722184576,928381.8737599915,663590.9348110808,164592.2375233394,385534.09362846444,351794.45394973614,1877179.914697558,2231541.6310238,481000.0,900000.0,1718373.6542233494,1594197.7110293566,3919121.5840609367,3405553.8624894246,629025.6665404048,682130.0261053252,420290.0,325374.0,745664.0,623944.5237915582,169739.1587948288,793683.6825863869,428305.2022031084,175343.43129605288,1026398.1679596505,724250.2628592289,378952.00000000006,2428305.2306715003,2059982.182875711,6300000.0,7790816.353389436,7645571.679613713,73.93170290971067,75.22399501700924,SPY,2026-03-27 00:00:00,25,2,2026-07-01,1952-07-26,1951-04-11,stochastic,stochastic
