date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2026-07-31,-16.001224603661345,1.1545216835765482,-82225.93829139,-82225.93829139,-82147.3193943424,-82147.3193943424,19234.980627606907,13374.788070384953,19216.58943629796,13362.0,5598539.081081004,5604399.273638225,5593186.13556553,5599040.725001827,179044,0.0,3753.58892859928,9613.781485821233,9621.199141785673
2026-08-31,-59.18611817861934,6.124608354299843,-485089.2758057519,-485510.96737526456,-482230.7387113352,-482649.94533415046,38589.35167252567,26815.994495005805,38361.9521015453,26657.97303625407,5174937.249203044,5186710.606380564,5144442.346870778,5156146.32593607,179044,0.0,7525.817943142625,19299.17512066249,19290.17655186318
2026-09-30,-16.53959626634931,11.819647640539932,-562472.9989143858,-563070.7440605916,-553976.9810819166,-554565.6974330847,58170.043429465935,40382.919598673005,57291.39907276593,39772.9454208908,5077395.786237953,5095182.910068747,5000702.957914389,5018221.411566264,179044,0.0,11333.329478747473,29120.453309540404,29049.59011992553
2026-10-31,81.02520433767972,0.15136368913382103,-305054.90906775,-304750.8676223336,-300409.26258531935,-300109.8513524628,77753.82229380078,53951.5547994788,76569.71818566296,53129.932713337585,5318179.251096833,5341981.518591155,5237189.304708832,5260629.090181158,179044,0.0,15141.320947316679,38943.58844163866,38810.23385216212
2026-11-30,-17.72170242365845,0.3262915027261837,-390804.33240788186,-390884.07470036874,-384748.35708215076,-384826.86367350625,97344.2517375232,67523.87393616361,95835.78743009857,66477.51165062889,5211585.708824644,5241406.0866260035,5130826.024646848,5160184.300426318,179044,0.0,18950.346300001012,48770.724101360596,48573.5276361626
2026-12-31,38.43406425809863,-0.12123074383115773,-247628.54448306863,-246889.04358807503,-243815.89267051342,-243087.77761729978,116932.20427315912,81094.82115843598,115131.83920822365,79846.23199629401,5337847.843500288,5373685.226615011,5255662.830063533,5290948.437275462,179044,0.0,22758.986629556573,58596.36974427971,58335.834528879415
2027-01-31,44.707521545021955,0.765548488824086,-80690.28126481874,-78829.98587158113,-79397.44536485328,-77566.95599820548,136535.73267497052,94674.39583248194,134348.12973117892,93157.50363900859,5488839.5688619735,5530700.905704462,5400896.278387045,5442086.904479215,179044,0.0,26570.048224203503,68431.38506669209,68104.34760827843
2027-02-28,121.08561756593956,2.219959756421064,294469.4715754192,299190.97079623485,289221.7400684065,293859.0975950464,156184.16905223439,108278.84022265856,153400.81572040322,106349.20630054346,5853683.042164581,5901588.370994156,5749364.734504069,5796416.343923928,179044,0.0,30388.08942036892,78293.41824994476,77890.75080228964
2027-03-31,2.6942633596900967,4.119462753667502,307452.7179844943,312280.46940311807,300959.46151773504,305685.2531022602,170157.8101664484,117107.29298311588,166564.15743026216,114634.04216116141,5853039.058007706,5906089.575191039,5729425.632298717,5781355.7475678185,179044,0.0,33606.05125737894,86656.56844071146,83501.24172573695
2027-04-30,44.37023855969502,4.124606548010368,489329.6442303776,495805.8837088681,477384.6055836853,483702.7534121645,184192.7043780039,125965.53167782308,179696.37149039697,122890.58381438575,6026168.561931951,6084395.734632132,5879063.604747158,5935869.392423169,179044,0.0,36834.87003640319,95062.04273658402,89130.66164141988
