date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2026-07-31,-38.8372211677049,2.41363005046489,-228805.89158628,-228805.89158628,-228351.598647347,-228351.598647347,19269.3198884268,13388.5829636665,19231.0607513798,13362,5451924.78852529,5457805.52545005,5441100.01946952,5446969.0802209,0,3757.46041863114,9638.19734339145,9631.12254503535
2026-08-31,23.2078076168043,1.68032367320046,-133157.476162444,-133054.304678941,-132708.68069244,-132605.856939277,38578.8096612269,26795.7707014912,38448.783202983,26705.4579315839,5528601.77458345,5540384.81354319,5509968.11237089,5521711.43764229,0,7520.14220405568,19303.1811637914,19275.6284974355
2026-09-30,5.15073467912108,4.20872000706796,-109969.619654844,-109817.028186368,-109223.098966829,-109071.543354332,57988.0115136866,40249.09762343,57594.3641555554,39975.8695796836,5532542.23505119,5550281.14894145,5494984.97834024,5512603.47291611,0,11295.7727950803,29034.6866853369,28953.3248283497
2026-10-31,38.4730562486293,3.25117180472627,42157.0877332373,42797.4409662178,41759.4199328261,42393.7327138841,77475.011975196,53738.3416598089,76744.1902022604,53231.4278933545,5666776.42149274,5690513.09180813,5613321.72060789,5636834.48291679,0,15081.4834025059,38818.153717893,38656.858257303
2026-11-30,6.39143498573846,-7.34226513090118,71489.7857950125,72253.0061629505,71266.8743300128,72027.7149094475,96776.5938734265,67142.1358737874,96474.8359078918,66932.7807651603,5677208.56832427,5706843.02632391,5659506.53068349,5689048.58582622,0,18843.2128069677,48477.6708066068,48298.9230668197
2026-12-31,-13.7984867707883,3.33113043433417,1675.44689086119,2074.24342812102,1665.6680294431,2062.13696318822,116157.368172662,80582.5819650605,115479.407676125,80112.2561636006,5586823.36427934,5622398.15048694,5554215.48411041,5589582.63562294,0,22615.2284365347,58190.0146441366,57967.3535285258
2027-01-31,17.1468032261451,0.118971106907839,75843.2533284582,76714.3225125273,75393.1183494661,76259.0176773956,135541.02526735,94024.359850907,134736.579863392,93466.3187412654,5643149.55936761,5684666.22478405,5609657.07457988,5650927.335702,0,26387.6178297337,67904.2832461762,67636.7420211733
2027-02-28,75.2506362606993,2.63141102338107,345947.600834838,348805.828378786,343150.827687768,345985.948223535,154987.732670202,107495.263807348,153734.752369685,106626.230848229,5900294.75040436,5947787.21926721,5852594.50366785,5899703.0251893,0,30168.1813559014,77660.6502187556,77327.0824514464
2027-03-31,63.4379204666352,-1.5329502743333,592509.849375919,597352.698096766,588476.861370191,593286.7466714,174396.869648747,120948.837137193,173209.816835582,120125.584646125,6133924.5085549,6187372.54106645,6092173.22965701,6145257.46184647,0,33943.8811004695,87391.9136120239,87004.9560367235
2027-04-30,7.9061716541134,5.92217460330946,631528.58261081,636711.421580899,624229.929648722,629352.869915819,193946.056806681,134467.068993833,191704.598540223,132913.016654099,6154503.41698614,6213982.40479899,6083375.06930493,6142166.65119105,0,37737.7270413766,97216.7148542244,96729.3419524566
2027-05-31,24.4141813907509,7.12132473584521,744590.0840812,750865.583695445,731777.687820575,737945.202935012,213664.118547861,148063.018787171,209987.532716222,145515.251755614,6251409.74894258,6317010.84870327,6143839.77104014,6208312.05200075,0,41553.3842577376,107154.484018428,106509.634529433
2027-06-30,33.3500317437121,1.97653639279172,896335.990748371,904203.882920667,879476.816234439,887196.721303062,233430.58981508,161681.162309884,229039.996230529,158640.10297596,6388575.63934922,6460325.06685442,6268412.98526533,6338812.8785199,0,45375.2700690065,117124.697574203,116305.892240878
2027-07-31,36.680812968183,-3.87734610974166,1064878.42253552,1074639.19720209,1048298.04248485,1057906.83984571,253099.227196762,175254.502052265,249158.419224091,172525.752752698,6543607.76410592,6621452.48925042,6441722.420826,6518355.08729739,0,49184.5818512194,127029.306995717,126069.920201046
