date,apy_roi,apy_cpi,earn_norm_lc,earn_norm_cc,mo_earn_lc_norm,cum_mo_earn_lc_norm,mo_earn_cc_norm,cum_mo_earn_cc_norm,mo_earn_ss_man_norm,cum_mo_earn_ss_man_norm,mo_earn_ss_woman_norm,cum_mo_earn_ss_woman_norm,mo_earn_pen_man_norm,cum_mo_earn_pen_man_norm,mo_earn_pen_woman_norm,cum_mo_earn_pen_woman_norm,exp_norm_total_lc,exp_norm_total_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm
2026-07-31,-0.30706708211287737,3.2604817502947636,-1610.0648880261515,-1610.0648880261515,11739.55789111093,11739.55789111093,11739.55789111093,11739.55789111093,3445.0,3445.0,2667.0,2667.0,5689.766839599979,5689.766839599979,1547.8559395371021,1547.8559395371021,919224.8166818441,494362.0,5364746.351355614,5788490.378518157,-602431
2026-08-31,22.534756596831663,-2.7170613628206053,90224.50208074212,97478.51087060312,105204.52335742803,116944.08124853896,112458.53214728902,124198.09003839995,3445.0,6890.0,2667.0,5334.0,5702.842967684929,11392.609807284909,1551.4131964674864,3099.2691360045883,938482.7695113654,507754.70832749334,5465394.948646459,5895964.588000354,-602431
2026-09-30,73.06307529185008,6.376343318635236,344052.36065135704,371302.44842195674,267620.40272039536,384564.48396893434,287653.75164966314,411851.8416880631,3445.0,10335.0,2667.0,8001.0,5673.542663531424,17066.152470816334,1543.442281121958,4642.711417126547,957523.4879974782,520979.2468725706,5716017.063803308,6150250.941390909,-602431
2026-10-31,-12.928968974026079,3.2584011690489634,277741.57434125844,299951.19977516396,-52082.96713136854,332481.5168375658,-57050.71349599943,354801.12819206365,3445.0,13780.0,2667.0,10668.0,5658.402999641378,22724.55547045771,1539.3236556430184,6182.035072769565,976621.2692214964,534234.5635538537,5605222.5441056555,6044186.96350682,-602431
2026-11-30,74.55427825912615,5.691063394095175,541578.3553313562,584447.8432376494,278391.5211417135,610873.0379792793,299153.58990579913,653954.7180978628,3445.0,17225.0,2667.0,13335.0,5632.363641650092,28356.919112107804,1532.239854836274,7714.2749276058385,995542.1266782995,547351.5838558759,5871113.76536495,6313969.57827526,-602431
2026-12-31,24.102384219002705,3.84163587426698,646150.721937825,696901.731723195,119525.14423559979,730398.1822148791,127541.12509231623,781495.843190179,3445.0,20670.0,2667.0,16002.0,5614.697886962142,33971.61699906994,1527.4340263918043,9241.708953997642,1014531.0731034762,560505.4739258125,5957494.131271101,6404887.550718201,-602431
2027-01-31,147.8197114940034,3.8851352201340505,1110643.2046813236,1196269.4166809453,479773.07940149837,1210171.2616163774,514809.22645075014,1296305.069640929,3445.0,24115.0,2667.0,18669.0,5596.892199374545,39568.50919844449,1522.5901303118833,10764.299084309525,1033471.8201080053,573615.3411025107,6464173.051215535,6916089.6233915705,-602431
2027-02-28,-63.215949682476726,1.4597315509280895,593027.4020952394,642456.9628177338,-503052.4541827331,707118.8074336443,-539145.7613772014,757159.3082637277,3445.0,27560.0,2667.0,21336.0,5590.1371920400225,45158.64639048451,1520.7524841448053,12285.05156845433,1052620.5341026993,586865.5616924111,5839607.775616385,6296926.724094117,-602431
2027-03-31,23.5957240908218,1.2884514637071742,696290.8705995893,753804.1485281056,117111.11064783086,824229.9180814752,125247.5337246794,882406.8419884071,3445.0,31005.0,2667.0,24003.0,5584.176527117247,50742.822917601756,1519.1309325304062,13804.182500984736,1071772.7717632826,600114.6791068087,5936367.318440726,6399151.610021324,-602431
2027-04-30,-48.139864492986874,0.4931171057654282,380034.1516575984,412891.52513879194,-302758.9568855999,521470.9611958753,-327391.2902608465,555015.5517275606,3445.0,34450.0,2667.0,26670.0,5581.887924691045,56324.7108422928,1518.5083363927258,15322.690837377462,1091019.3354872116,613427.86149829,5542614.003284306,6011163.59128647,-602431
2027-05-31,32.39634750254518,-0.17435849129406877,511254.5858412688,555204.8966051309,144378.5924006332,665849.5535965085,155466.75103388535,710482.302761446,3445.0,37895.0,2667.0,29337.0,5582.699732898687,61907.41057519149,1518.7291823766454,16841.420019754107,1110363.3734447362,626809.121294677,5680628.209971322,6155200.198858375,-602431
2027-06-30,137.08454180259153,0.46968513880532026,934595.5613640473,1013912.2107584774,436751.2317472795,1102600.785343788,472134.72909497237,1182617.0318564184,3445.0,41340.0,2667.0,32004.0,5580.520181404174,67487.93075659567,1518.1362526799787,18359.556272434085,1129599.3962863882,640114.1957025018,6163981.652425118,6644324.51400959,-602431
2027-07-31,12.344099453281366,4.089941988275969,991358.084548295,1075076.457784089,73066.24961607145,1175667.0349598594,77732.48317952616,1260349.5150359445,3445.0,44785.0,2667.0,34671.0,5561.909941894874,73049.84069849055,1513.0734846311732,19872.629757065257,1148168.0505075618,652945.5725356471,6194753.175680259,6679466.497763296,-602431
