date,apy_roi,apy_cpi,earn_lc,earn_cc,earn_norm_lc,earn_norm_cc,exp_total_lc,exp_total_cc,exp_norm_total_lc,exp_norm_total_cc,worth_lc,worth_cc,worth_norm_lc,worth_norm_cc,added_lc_worth_norm,exp_al_cc,exp_cc,exp_lc,exp_non_taylor
2026-07-31,-37.90799952615017,1.5772980338039977,-221926.85643264846,-221926.85643264846,-221637.61769728697,-221637.61769728697,19243.335838138206,13379.437509128884,19218.25587165092,13362.000000000002,5458829.8077292135,5464693.706058223,5451715.278845592,5457571.534717244,-844185,0.0,3754.893777820185,9618.792106829509,9624.543731308699
2026-08-31,-48.68328549171685,-1.8314668103124654,-517134.4802179665,-517451.593510155,-517256.64949399896,-517573.83770190633,38449.65005456251,26738.28157895777,38458.73350594809,26744.598304350893,5143375.2108964445,5155086.579372049,5144590.2960433755,5156304.431244972,-844185,0.0,7504.008076716932,19215.37655232167,19234.273502240838
2026-09-30,66.65089994662614,-0.2263700403450808,-293502.47339466936,-293310.38081960985,-293627.25912633364,-293435.08488105086,57651.431296194554,40094.60299532947,57675.94242195299,40111.64964680294,5349477.212704961,5367034.041005827,5351751.600447892,5369315.893223043,-844185,0.0,11252.414401473246,28809.242702338335,28842.188593856223
2026-10-31,71.30679196436284,-2.735981976191293,-48076.742887985485,-47079.17021836896,-48208.5007945717,-47208.19420250701,76797.79744842184,53420.08352015834,77008.26755131155,53566.485251046724,5578401.5354503095,5601779.249378573,5593689.561723652,5617131.344023917,-844185,0.0,14992.165334575195,38369.8792628387,38427.91818558314
2026-11-30,25.914808175868064,-1.6691146613434182,60080.14936422781,61530.98106698744,60329.36624153442,61786.21610087798,95910.62593765801,66726.88592532137,96308.47026643623,67003.67395462352,5668934.594053662,5698118.334066,5692449.751591315,5721754.547903128,-844185,0.0,18726.674316715696,47910.41432905234,48000.21160860568
2026-12-31,21.764392729156423,0.9549656557923836,153873.78275659628,155807.46515490048,154389.73295342497,156329.8991321116,115042.37802223505,80044.2318774249,115428.12364127986,80312.62611881095,5745183.335456306,5780181.481601116,5764447.360942925,5799562.858465394,-844185,0.0,22464.1423095602,57462.28845437034,57580.08956786471
2027-01-31,-11.50557099503099,2.0323663701322436,95651.05106335328,97230.05589024306,95810.99911499345,97392.64435976451,134214.24874494364,93383.92519149368,134438.68232252015,93540.08214662214,5666622.872680843,5707453.196234292,5676098.621015951,5716997.221191849,-844185,0.0,26207.882013777973,67038.20556722795,67176.0431777157
2027-02-28,42.885933217144114,-1.2804564694217646,266705.69182259834,269517.21493850125,267438.7364084043,270257.98703767185,153360.401921042,106709.30019884273,153781.91528109444,107002.59230757634,5822582.798063832,5869233.899786032,5838586.254031944,5885365.577005463,-844185,0.0,29947.603333756935,76598.70505595623,76761.69686508579
2027-03-31,-23.572005965206955,0.7119333510748005,137719.7288599105,139497.8038501965,138016.63736492168,139798.54568824958,172520.70399154833,120042.55517563608,172892.639550307,120301.35364910078,5671039.185185502,5723517.3340014145,5683265.318509116,5735856.604410321,-844185,0.0,33689.536140445685,86167.68495635796,86353.01903519039
2027-04-30,34.42371610334713,-1.7684977012831227,279260.9406749335,282348.7969124761,280279.4441131985,283378.5621913236,191645.42816086282,133355.99919613797,192344.3856557343,133842.36704753267,5797761.548475648,5856050.977440373,5818906.790116285,5877408.808724487,-844185,0.0,37425.90906941456,95715.33803413942,95930.09012672341
2027-05-31,53.836348279573556,-0.22462067847965894,491141.3235594773,496359.37891333475,493024.96566465567,498263.033483969,210765.6742942206,146666.94858498796,211574.01006110263,147229.4507132766,5997525.406638501,6061624.132347734,6020527.32246376,6084871.881811586,-844185,0.0,41161.581888467656,105260.30759770029,105505.36669652032
2027-06-30,44.59184232904687,2.8040001609151988,678298.4591793694,685516.7618164391,679332.5611796438,686561.8685021799,229941.0448748945,160008.60851634224,230291.6022014407,160252.55013214372,6172084.267598687,6242016.703957239,6181493.937634953,6251532.989704251,-844185,0.0,44905.87351715936,114838.30987571158,115102.7349991829
2027-07-31,5.778273990930249,4.482253537735614,707259.2427949443,714805.6838807585,705754.0108057233,713284.3910982104,249204.13954026025,173399.10698681785,248673.76818562095,173030.0684971864,6182860.890755922,6258665.923309364,6169702.151449961,6245345.851138396,-844185,0.0,48663.8715162825,124468.90406972493,124735.23547053534
2027-08-31,-25.09913676331409,-2.440911367009524,560131.6867927819,565874.2688933604,560091.8073666095,565833.9806153334,268417.69988382806,186762.05838243818,268398.5894780105,186748.76157403633,6010589.704715272,6092245.346216662,6010161.771652327,6091811.5995563,-844185,0.0,52414.13852223792,134069.78002362783,134347.91986020026
2027-09-30,-26.181162244753565,0.18087600288403394,409992.68025803124,413695.5794830079,409901.7568748222,413603.8349141011,287634.8768601559,200127.02230788145,287571.0885600414,200082.6404766538,5834528.693761841,5922036.548314116,5833234.780202377,5920723.228285764,-844185,0.0,56164.970337865234,143672.8248901397,143962.0519700162
2027-10-31,48.19221655934272,1.4299549954266189,604407.7030054384,611026.4918294409,603559.116996913,610168.6130677598,306880.48933180363,213507.80887895063,306449.63034664927,213208.0447653818,6019282.518488678,6112655.198941531,6010831.469798941,6104073.055380208,-844185,0.0,59920.24272534536,153292.9231781984,153587.56615360526
2027-11-30,48.3806621449151,2.6230170446183587,805637.7217914581,815378.0431542499,802772.6199333178,812478.3016409884,326178.06205787417,226917.49796310454,325018.06998400687,226110.507764566,6211474.254828427,6310734.818923197,6189384.293114958,6288291.855334399,-844185,0.0,63683.6265051371,162944.19059990672,163233.87145796744
2027-12-31,55.77449209682488,-2.7373058959585084,1039358.3184229812,1052833.5402796739,1038060.1771319147,1051518.568660136,345419.90493160044,240296.20774960183,344988.4812027479,239996.08177395203,6438226.186924365,6543349.884106364,6430184.949262312,6535177.348691108,-844185,0.0,67438.31605006786,172562.0132320665,172857.89169953397
2028-01-31,23.21652875589313,-1.941141611738717,1152349.0198419644,1167669.1598384506,1152791.3304927577,1168117.3508787574,364622.492384586,253653.08092850284,364762.4468681006,253750.44158692262,6538076.41119981,6649045.822655893,6540585.946750741,6651597.952031919,-844185,0.0,71186.87722510744,182156.2886811906,182466.2037033954
2028-02-29,-13.93101194290648,-1.9783381598057703,1071120.4175435337,1085061.8813631835,1073317.2874069447,1087287.3451934496,383785.1501635705,266987.7315366135,384572.2941826832,267535.3238443564,6433155.106876929,6549952.525503886,6446349.519334641,6563386.489672967,-844185,0.0,74929.2017109939,191726.62033795088,192058.5298256196
2028-03-31,69.98416634484221,1.674445248129941,1361919.229121372,1381140.3030184738,1362825.320895728,1382059.1826708328,402980.970299307,280340.8476407075,403249.0755838221,280527.3598292659,6722106.392229974,6844746.514888574,6726578.643724854,6849300.3594794115,-844185,0.0,78676.70847572616,201316.83113432574,201664.13916498132
