roi_fixed,cpi_fixed,yrs_il_man,yrs_il_woman,yrs_al_man,yrs_al_woman,yrs_al_total, |*|,start_pile, |,cum_mo_earn_ss_norm,cum_mo_earn_pen_norm,cum_mo_earn_inv_cc_norm, |,cum_mo_earn_total_cc_norm,cum_mo_earn_cc_norm, |,entrance_fee_cc,cum_mo_exp_cc_norm,cum_mo_exp_al_cc_norm,cum_mo_exp_non_taylor_norm, |,cum_mo_exp_total_cc_norm, |,worth_norm_cc, |*|,start_pile, |,cum_mo_earn_ss_norm,cum_mo_earn_pen_norm,cum_mo_earn_inv_lc_norm, |,cum_mo_earn_total_lc_norm,cum_mo_earn_lc_norm, |,entrance_fee_lc,cum_mo_exp_lc_norm,cum_mo_exp_al_lc_norm,cum_mo_exp_non_taylor_norm, |,cum_mo_exp_total_lc_norm, |,worth_norm_lc,
  8.000,  4.000, 10.00,  8.80,  0.00,  0.00,  0.00, |*|,  6.300, |,  0.733,  0.719,  2.470, |,  6.482,  6.482, |,  0.481,  0.490,  0.000,  1.086, |,  2.055, |, 10.726, |*|,  6.300, |,  0.733,  0.719,  2.230, |,  5.992,  5.992, |,  0.900,  1.121,  0.000,  1.086, |,  3.105, |,  9.188,
  8.000,  4.000, 10.00,  8.80,  0.50,  0.50,  1.00, |*|,  6.300, |,  0.770,  0.748,  2.610, |,  6.832,  6.832, |,  0.481,  0.478,  0.168,  1.086, |,  2.211, |, 10.921, |*|,  6.300, |,  0.770,  0.748,  2.357, |,  6.318,  6.318, |,  0.900,  1.102,  0.113,  1.086, |,  3.198, |,  9.420,
  8.000,  4.000, 10.00,  8.80,  1.00,  1.00,  2.00, |*|,  6.300, |,  0.807,  0.777,  2.751, |,  7.185,  7.185, |,  0.481,  0.465,  0.339,  1.086, |,  2.370, |, 11.115, |*|,  6.300, |,  0.807,  0.777,  2.488, |,  6.648,  6.648, |,  0.900,  1.082,  0.229,  1.086, |,  3.294, |,  9.654,
  8.000,  4.000, 10.00,  8.80,  2.00,  2.00,  4.00, |*|,  6.300, |,  0.880,  0.832,  3.040, |,  7.902,  7.902, |,  0.481,  0.461,  0.607,  1.086, |,  2.634, |, 11.569, |*|,  6.300, |,  0.880,  0.832,  2.756, |,  7.324,  7.324, |,  0.900,  1.075,  0.418,  1.086, |,  3.476, |, 10.148,
  8.000,  4.000, 10.00,  8.80,  4.00,  4.00,  8.00, |*|,  6.300, |,  1.027,  0.937,  3.643, |,  9.380,  9.380, |,  0.481,  0.461,  1.138,  1.086, |,  3.165, |, 12.514, |*|,  6.300, |,  1.027,  0.937,  3.328, |,  8.738,  8.738, |,  0.900,  1.075,  0.798,  1.086, |,  3.856, |, 11.182,
  8.000,  4.000, 10.00,  8.80,  8.00,  8.00, 16.00, |*|,  6.300, |,  1.320,  1.122,  4.951, |, 12.522, 12.522, |,  0.481,  0.461,  2.335,  1.086, |,  4.362, |, 14.460, |*|,  6.300, |,  1.320,  1.122,  4.616, |, 11.840, 11.840, |,  0.900,  1.075,  1.652,  1.086, |,  4.711, |, 13.429,
  4.000,  4.000, 10.00,  8.80,  0.00,  0.00,  0.00, |*|,  6.300, |,  0.733,  0.719,  0.000, |,  3.486,  3.486, |,  0.481,  0.490,  0.000,  1.086, |,  2.055, |,  7.731, |*|,  6.300, |,  0.733,  0.719,  0.000, |,  3.237,  3.237, |,  0.900,  1.121,  0.000,  1.086, |,  3.105, |,  6.432,
  4.000,  4.000, 10.00,  8.80,  0.50,  0.50,  1.00, |*|,  6.300, |,  0.770,  0.748,  0.000, |,  3.639,  3.639, |,  0.481,  0.478,  0.168,  1.086, |,  2.211, |,  7.728, |*|,  6.300, |,  0.770,  0.748,  0.000, |,  3.377,  3.377, |,  0.900,  1.102,  0.113,  1.086, |,  3.198, |,  6.479,
  4.000,  4.000, 10.00,  8.80,  1.00,  1.00,  2.00, |*|,  6.300, |,  0.807,  0.777,  0.000, |,  3.789,  3.789, |,  0.481,  0.465,  0.339,  1.086, |,  2.370, |,  7.719, |*|,  6.300, |,  0.807,  0.777,  0.000, |,  3.516,  3.516, |,  0.900,  1.082,  0.229,  1.086, |,  3.294, |,  6.522,
  4.000,  4.000, 10.00,  8.80,  2.00,  2.00,  4.00, |*|,  6.300, |,  0.880,  0.832,  0.000, |,  4.084,  4.084, |,  0.481,  0.461,  0.607,  1.086, |,  2.634, |,  7.750, |*|,  6.300, |,  0.880,  0.832,  0.000, |,  3.789,  3.789, |,  0.900,  1.075,  0.418,  1.086, |,  3.476, |,  6.613,
  4.000,  4.000, 10.00,  8.80,  4.00,  4.00,  8.00, |*|,  6.300, |,  1.027,  0.937,  0.000, |,  4.647,  4.647, |,  0.481,  0.461,  1.138,  1.086, |,  3.165, |,  7.782, |*|,  6.300, |,  1.027,  0.937,  0.000, |,  4.321,  4.321, |,  0.900,  1.075,  0.798,  1.086, |,  3.856, |,  6.765,
